"idcompany","country","channel","profile","idcompany-2","registrationdate","planname","paymentfrequency","lastpaidplan","firstpaymentdate","retirementdate","avgmoninvoices","avgmonbilling","users","downloadreports","helprequests"
92996,"COL","Digital","Empresario",92996,"2019-08-14","plus","1",NULL,"2019-08-15",NULL,257,1829,"6","0","8"
26541,"COL","Digital","Empresario",26541,"2021-11-15","pyme","1",NULL,"2021-11-16",NULL,19,8549,"8","2","10"
80285,"COL","Digital","Independiente",80285,"2021-08-30","pro","1",NULL,"2021-09-18",NULL,35,5481,"6","1","5"
26274,"COL","Digital","Independiente",26274,"2021-11-19","pyme","1",NULL,"2021-12-28",NULL,463,6981,"6","2","1"
43175,"COL","Digital","Empresario",43175,"2020-11-21","pyme","1",NULL,"2020-11-24",NULL,461,8190,"1","8","0"
87395,"COL","Digital","Contador",87395,"2019-11-27","pyme","1",NULL,"2019-11-28",NULL,467,9782,"1","10","9"
19575,"COL","Digital","Empresario",19575,"2020-07-20","pyme","1",NULL,"2020-08-30",NULL,2565,7677,"5","10","10"
15639,"COL","Digital","Empresario",15639,"2022-01-26","pro","1",NULL,"2022-03-19",NULL,1036,1955,"6","9","5"
33346,"COL","Digital","Contador",33346,"2019-12-21","pyme","1",NULL,"2020-01-04",NULL,452,7860,"8","6","10"
35549,"COL","Digital","Empresario",35549,"2020-01-18","consulta","1","pro","2020-02-03","2020-02-03",52,2285,"3","1","0"
99430,"COL","Digital","Empresario",99430,"2019-09-17","pyme","1",NULL,"2019-10-02",NULL,483,6294,"3","6","8"
70053,"COL","Digital","Empresario",70053,"2021-09-08","consulta","1",NULL,NULL,NULL,7,6800,"3","0","8"
70867,"COL","Digital","Independiente",70867,"2021-05-05","pyme","1",NULL,"2021-05-06",NULL,4,5489,"9","9","1"
13855,"COL","Digital","Contador",13855,"2019-05-28","pyme","1",NULL,"2019-06-05",NULL,1,7938,"8","3","4"
91465,"COL","Digital","Independiente",91465,"2019-09-02","pyme","1",NULL,"2019-11-16",NULL,2049,1631,"3","6","5"
59925,"COL","Digital","Empresario",59925,"2021-01-02","consulta","1",NULL,NULL,NULL,31,5055,"1","7","5"
80969,"COL","Digital","Empresario",80969,"2021-06-22","pyme","1",NULL,"2021-08-17",NULL,2659,9662,"10","7","8"
30641,"COL","Digital","Independiente",30641,"2021-03-13","pyme","1",NULL,"2021-05-14",NULL,1543,5527,"2","1","6"
60341,"COL","Digital","Independiente",60341,"2021-10-29","consulta","1","pro","2021-11-14","2022-05-11",340,8434,"5","4","6"
81296,"COL","Digital","Independiente",81296,"2021-03-20","pyme","1",NULL,"2021-04-29",NULL,8,7023,"9","5","7"
58931,"COL","Digital","Empresario",58931,"2020-04-15","pyme","1",NULL,"2020-05-10",NULL,43,6941,"4","4","2"
87512,"COL","Digital","Empresario",87512,"2021-04-20","consulta","1","plus","2021-04-27","2022-05-10",726,5375,"2","2","1"
40111,"COL","Digital","Empresario",40111,"2019-10-09","consulta","1",NULL,NULL,NULL,13,6302,"6","4","5"
62462,"COL","Digital","Empresario",62462,"2020-02-28","consulta","1","pro","2020-02-29","2021-11-21",445,4158,"9","3","8"
14484,"COL","Digital","Empresario",14484,"2020-12-26","plus","1",NULL,"2021-01-13",NULL,10,6551,"7","0","5"
52115,"COL","Digital","Empresario",52115,"2020-09-25","consulta","1","plus","2020-10-07","2021-06-25",1347,8131,"4","6","9"
28974,"COL","Digital","Empresario",28974,"2019-11-22","pyme","1",NULL,"2019-12-12",NULL,207,6902,"1","3","4"
82457,"COL","Digital","Empresario",82457,"2021-08-31","pyme","1",NULL,"2021-10-08",NULL,2991,7056,"10","3","7"
10580,"COL","Digital","Contador",10580,"2021-08-28","pro","1",NULL,"2021-09-08",NULL,1372,9365,"9","5","10"
97387,"COL","Digital","Contador",97387,"2019-03-13","plus","1",NULL,"2019-03-26",NULL,246,5459,"4","1","2"
89663,"COL","Digital","Empresario",89663,"2021-12-12","consulta","1","pro","2022-04-19","2023-11-06",102,3707,"8","1","7"
22948,"COL","Digital","Empresario",22948,"2022-04-15","pyme","1",NULL,"2022-06-09",NULL,6,1316,"6","10","1"
90994,"COL","Digital","Empresario",90994,"2021-08-30","pyme","1",NULL,"2021-09-11",NULL,24,7981,"9","0","0"
44808,"COL","Digital","Empresario",44808,"2019-05-27","pyme","1",NULL,"2019-10-07",NULL,35,3610,"2","9","3"
84269,"COL","Digital","Independiente",84269,"2021-01-11","pyme","1",NULL,"2021-01-27",NULL,1060,4501,"3","3","0"
23271,"COL","Digital","Contador",23271,"2019-04-27","plus","1",NULL,"2019-04-28",NULL,1691,6356,"8","8","3"
40886,"COL","Digital","Independiente",40886,"2020-08-14","pro","1",NULL,"2020-08-23",NULL,48,1789,"1","10","10"
47034,"COL","Digital","Independiente",47034,"2020-06-05","plus","1",NULL,"2020-06-06",NULL,2389,1773,"9","8","10"
70476,"COL","Digital","Independiente",70476,"2021-04-15","consulta","1","pro","2021-06-12","2022-09-26",390,6475,"1","1","6"
89935,"COL","Digital","Empresario",89935,"2019-07-30","pro","1",NULL,"2019-07-31",NULL,383,9260,"9","6","0"
89886,"COL","Digital","Independiente",89886,"2019-04-19","pyme","1",NULL,"2019-04-28",NULL,1733,7309,"6","10","3"
69952,"COL","Digital","Empresario",69952,"2021-07-26","pro","1",NULL,"2021-09-21",NULL,26,6651,"5","3","0"
68062,"COL","Digital","Independiente",68062,"2021-06-04","pyme","1",NULL,"2021-06-18",NULL,171,6251,"5","4","5"
87029,"COL","Digital","Independiente",87029,"2021-10-16","consulta","1","pro","2021-10-17","2022-03-25",291,1740,"8","3","4"
80878,"COL","Digital","Empresario",80878,"2019-06-06","pyme","1",NULL,"2019-06-15",NULL,454,3627,"8","7","6"
48985,"COL","Digital","Empresario",48985,"2021-10-16","pyme","1",NULL,"2021-11-16",NULL,140,4475,"7","5","9"
60595,"COL","Digital","Contador",60595,"2022-03-15","pyme","1",NULL,"2022-04-02",NULL,1937,4091,"1","0","2"
64311,"COL","Digital","Empresario",64311,"2020-05-04","pyme","1",NULL,"2020-06-17",NULL,447,9346,"10","2","10"
51788,"COL","Digital","Empresario",51788,"2021-12-15","pyme","1",NULL,"2021-12-29",NULL,2421,9357,"9","1","1"
17524,"COL","Digital","Contador",17524,"2021-10-16","pyme","1",NULL,"2021-12-09",NULL,346,8607,"8","1","5"
19649,"COL","Digital","Contador",19649,"2022-03-27","pro","1",NULL,"2022-04-28",NULL,24,1956,"2","3","9"
27970,"COL","Digital","Empresario",27970,"2020-12-17","pyme","1",NULL,"2020-12-18",NULL,3,2401,"7","4","6"
84160,"COL","Digital","Empresario",84160,"2020-10-08","pyme","1",NULL,"2020-10-09",NULL,9,6431,"4","0","3"
71501,"COL","Digital","Independiente",71501,"2020-03-23","pyme","1",NULL,"2020-03-24",NULL,370,3587,"4","8","1"
97965,"COL","Digital","Contador",97965,"2021-12-06","pyme","1",NULL,"2022-01-27",NULL,1,8044,"6","2","3"
38092,"COL","Digital","Empresario",38092,"2021-03-15","pyme","1",NULL,"2021-03-20",NULL,1870,2187,"7","3","8"
70850,"COL","Digital","Empresario",70850,"2020-08-19","pro","1",NULL,"2020-10-17",NULL,292,2143,"5","6","9"
71942,"COL","Digital","Contador",71942,"2019-06-01","consulta","1",NULL,NULL,NULL,34,8198,"4","7","0"
87241,"COL","Digital","Empresario",87241,"2019-07-15","pyme","1",NULL,"2019-09-26",NULL,2021,3312,"5","5","6"
63446,"COL","Digital","Empresario",63446,"2019-12-03","consulta","1",NULL,NULL,NULL,68,6866,"10","0","9"
59526,"COL","Digital","Empresario",59526,"2021-01-27","consulta","1",NULL,NULL,NULL,41,4868,"6","6","1"
15437,"COL","Digital","Contador",15437,"2021-11-28","pro","1",NULL,"2022-02-01",NULL,42,5296,"6","0","6"
96036,"COL","Digital","Contador",96036,"2019-09-08","pyme","1",NULL,"2019-10-15",NULL,32,2831,"10","1","6"
23477,"COL","Digital","Independiente",23477,"2019-04-24","pyme","1",NULL,"2019-06-16",NULL,41,4116,"5","6","6"
57532,"COL","Digital","Empresario",57532,"2021-11-12","pyme","1",NULL,"2021-12-19",NULL,339,1171,"3","0","10"
71769,"COL","Digital","Independiente",71769,"2021-11-17","pyme","1",NULL,"2021-11-18",NULL,466,8647,"2","9","1"
67516,"COL","Digital","Empresario",67516,"2019-11-02","consulta","1","pro","2019-12-26","2020-02-01",369,6683,"3","1","8"
96177,"COL","Digital","Independiente",96177,"2020-01-01","plus","1",NULL,"2020-01-30",NULL,145,8771,"3","0","5"
56244,"COL","Digital","Contador",56244,"2021-01-11","consulta","1","pro","2021-01-26","2021-12-31",259,7660,"8","2","2"
91368,"COL","Digital","Empresario",91368,"2020-08-18","pyme","1",NULL,"2020-09-14",NULL,1312,9426,"10","0","2"
43784,"COL","Digital","Empresario",43784,"2019-08-27","plus","1",NULL,"2019-08-28",NULL,266,1481,"4","1","6"
75372,"COL","Digital","Contador",75372,"2021-09-18","consulta","1","pro","2021-09-19","2021-12-29",337,1837,"10","3","3"
71614,"COL","Digital","Contador",71614,"2020-04-11","pro","1",NULL,"2020-06-06",NULL,54,2780,"8","4","0"
74832,"COL","Digital","Empresario",74832,"2019-08-21","consulta","1","pro","2019-08-22","2020-02-04",169,4856,"6","6","6"
72644,"COL","Digital","Contador",72644,"2021-01-15","pro","1",NULL,"2021-01-29",NULL,9,1617,"8","0","2"
74933,"COL","Digital","Contador",74933,"2019-11-13","pyme","1",NULL,"2019-12-20",NULL,11,6858,"6","0","8"
57175,"COL","Digital","Independiente",57175,"2021-03-16","pro","1",NULL,"2021-05-19",NULL,50,3820,"1","1","3"
23179,"COL","Digital","Contador",23179,"2021-01-14","pyme","1",NULL,"2021-04-19",NULL,20,8611,"1","9","10"
31259,"COL","Digital","Empresario",31259,"2021-12-23","pyme","1",NULL,"2022-03-02",NULL,43,3408,"8","8","5"
