"id","gaiia_id","status","gaiia_status","City","name","created_at"
54213,57771,Instalaciones,ACTIVE,Barranquilla,SANTODOMINGO,2025-01-14 12:10:45.000
69104,71312,Instalaciones,ACTIVE,Barranquilla,CARRIZAL,2025-03-12 17:00:00.000
16311,24969,Instalaciones,SUSPENDED,Cartagena,VILLA ROSA,2024-06-06 14:51:15.000
68472,70721,Instalaciones,ACTIVE,Barranquilla,SANTA MARIA,2025-03-10 17:00:00.000
15285,24147,Instalaciones,ACTIVE,Cartagena,VILLA ROSA,2024-05-27 21:21:40.000
56660,59776,Instalaciones,ACTIVE,Cartagena,BOSTON,2025-01-22 17:52:20.000
37632,43311,Instalaciones,ACTIVE,Cartagena,PARAISO II,2024-10-29 23:24:09.000
55736,59153,Instalaciones,ACTIVE,Cartagena,CHIQUINQUIRA,2025-01-20 16:58:27.000
21022,28999,Instalaciones,ACTIVE,Cartagena,OLAYA SECTOR RAFAEL NUÑEZ,2024-07-17 20:29:43.000
16553,25200,Instalaciones,ACTIVE,Cartagena,REPUBLICA DEL LIBANO,2024-06-08 19:01:07.000
30954,37715,Instalaciones,ACTIVE,Cartagena,N.N,2024-09-27 21:27:43.000
64713,67138,Instalaciones,ACTIVE,Cartagena,EL POZON,2025-02-24 15:09:17.000
51149,55112,Instalaciones,ACTIVE,Cartagena,SAN JOSE DE LOS CAMPANOS,2025-01-02 19:11:02.000
20217,28186,Instalaciones,ACTIVE,Cartagena,EL POZON,2024-07-10 18:03:52.000
44162,48980,Instalaciones,ACTIVE,Barranquilla,SANTO DOMINGO DE GUZMAN,2024-11-26 16:51:49.000
12956,22280,Instalaciones,ACTIVE,Cartagena,OLAYA SECTOR RICAURTE,2024-04-29 17:00:00.000
15263,26452,Instalaciones,ACTIVE,Cartagena,VILLA ROSA,2024-05-27 20:32:16.000
30414,37172,Instalaciones,ACTIVE,Cartagena,VALPARAISO,2024-09-25 19:35:46.000
6144,18226,Instalaciones,ACTIVE,Cartagena,BOSTON,2023-08-26 13:47:47.000
50369,54427,Instalaciones,ACTIVE,Cartagena,UB NELSON MANDELA SECTOR AMANZANADO,2024-12-27 16:24:24.000
32922,39414,Instalaciones,ACTIVE,Cartagena,VEINTE DE JULIO SUR,2024-10-08 16:47:32.000
25093,32346,Instalaciones,SUSPENDED,Cartagena,EL POZON,2024-08-23 17:00:00.000
11257,21104,Instalaciones,ACTIVE,Cartagena,LA CANDELARIA,2024-04-03 10:50:16.000
